qty,german,english
ich 5890279,ich,I
sie 3806767,sie,she
das 3122198,das,the
ist 3025610,ist,is
du 2947020,du,you
nicht 2756783,nicht,not
die 2484854,die,the
es 2303025,es,it
und 2289891,und,and
der 1726001,der,the
wir 1721620,wir,we
was 1696010,was,What
zu 1424706,zu,to
er 1352161,er,he
ein 1315301,ein,a
in 1231372,in,in
ja 1054114,ja,Yes
mir 1019451,mir,me
mit 1014541,mit,with
wie 928920,wie,How
den 920646,den,the
mich 893076,mich,me
auf 881418,auf,on
dass 879520,dass,that
aber 854492,aber,but
eine 839485,eine,one
so 813903,so,so
hat 799017,hat,has
hier 754243,hier,here
haben 742327,haben,have
für 735252,für,for
sind 727078,sind,are
war 712337,war,was
von 706490,von,from
wenn 694462,wenn,if
dich 688780,dich,you
ihr 655351,ihr,her
nein 641479,nein,no
habe 636175,habe,have
an 627600,an,at
bin 576589,bin,am
noch 572486,noch,still
nur 564245,nur,only
da 564244,da,there
dir 554802,dir,you
sich 533395,sich,itself
einen 532402,einen,a
uns 523604,uns,us
hast 511491,hast,have
dem 465044,dem,dem
kann 461755,kann,can
gut 452726,gut,good
auch 449250,auch,also
schon 442343,schon,already
als 440490,als,as
sein 440142,sein,be
mal 435631,mal,just
jetzt 435411,jetzt,now
ihn 435147,ihn,him
dann 429424,dann,then
aus 425184,aus,out of
meine 420280,meine,mine
um 417759,um,around
im 403737,im,in the
wird 394216,wird,becomes
mein 384765,mein,my
bist 381498,bist,are
doch 381456,doch,but
alles 366575,alles,everything
weiß 357869,weiß,white
keine 349315,keine,no
oder 341214,oder,or
nach 326208,nach,after
s 309957,s,S
nichts 308672,nichts,nothing
man 300922,man,man
muss 295567,muss,must
werden 294676,werden,become
will 293445,will,want
ihnen 292370,ihnen,them
geht 290919,geht,goes
wo 288363,wo,where
etwas 286968,etwas,something
oh 284455,oh,Oh
mehr 281301,mehr,more
bei 277087,bei,at
also 276548,also,so
bitte 261548,bitte,please
immer 260238,immer,always
hab 252697,hab,have
warum 251177,warum,Why
vor 247840,vor,before
los 242543,los,Come on
können 240905,können,can
wieder 240508,wieder,again
sagen 236702,sagen,say
machen 228412,machen,make
danke 227937,danke,Thanks
sehr 226425,sehr,very
alle 224850,alle,all
denn 224543,denn,because
mann 222707,mann,man
tun 219102,tun,do
ihm 217025,ihm,him
zum 216201,zum,for the
gehen 213952,gehen,go
sehen 212948,sehen,see
vielleicht 212216,vielleicht,perhaps
einem 210889,einem,a
wer 210823,wer,who
ihre 208915,ihre,her
diese 208607,diese,this
euch 206931,euch,you
einer 202097,einer,one
komm 201117,komm,come
über 196855,über,above
gibt 196771,gibt,gives
okay 196683,okay,OK
wissen 192456,wissen,knowledge
deine 191923,deine,your
müssen 191257,müssen,must
soll 191100,soll,should
werde 187290,werde,become
nie 185925,nie,never
wirklich 185166,wirklich,really
hey 185011,hey,hey
kein 177553,kein,no
viel 176767,viel,much
weg 175124,weg,away
würde 175047,würde,would
tut 172752,tut,does
am 170913,am,at the
des 169182,des,of
einfach 168892,einfach,simply
leben 167721,leben,life
hatte 162793,hatte,had
zeit 160393,zeit,time
weil 159743,weil,because
willst 159106,willst,want
kommen 156754,kommen,come
dein 155913,dein,your
heute 154162,heute,today
kommt 153845,kommt,comes
wollen 152595,wollen,want
damit 150635,damit,with it
ganz 149683,ganz,quite
wäre 149557,wäre,were
wollte 148643,wollte,wanted
weißt 147614,weißt,white
ok 147191,ok,OK
sicher 145360,sicher,secure
gesagt 144870,gesagt,said
frau 143725,frau,woman
nun 143552,nun,so
bis 142166,bis,until
wurde 141236,wurde,became
leid 140641,leid,sorrow
na 140395,na,n/a
kannst 136795,kannst,can
macht 134768,macht,might
dieser 134205,dieser,this
zurück 133326,zurück,back
lassen 131393,lassen,let
hallo 128561,hallo,Hello
meinen 128288,meinen,mean
gott 127498,gott,God
seine 126038,seine,his
hätte 125345,hätte,would have
zwei 122625,zwei,two
könnte 117870,könnte,could
genau 117667,genau,Exactly
waren 117474,waren,were
zur 115474,zur,to
lass 115316,lass,let
klar 113688,klar,clear
morgen 112042,morgen,morning
leute 109956,leute,people
vater 109048,vater,father
schön 106669,schön,nice
glaube 105941,glaube,believe
mr. 105640,mr.,mr.
ab 104853,ab,away
gerade 104130,gerade,straight
tag 103559,tag,Day
gesehen 103106,gesehen,seen
reden 101992,reden,talk
wohl 100488,wohl,probably
liebe 99301,liebe,love
sollte 98826,sollte,should
sagte 98657,sagte,said
unsere 98478,unsere,our
jemand 98283,jemand,someone
geld 98052,geld,money
durch 97587,durch,through
ob 97001,ob,if
keinen 96394,keinen,no
mutter 95349,mutter,mother
raus 95012,raus,out
gemacht 94261,gemacht,made
paar 93818,paar,couple
mach 93345,mach,make
passiert 93021,passiert,happened
dachte 92867,dachte,thought
besser 92556,besser,better
musst 92429,musst,must
wieso 92191,wieso,how come
sir 92012,sir,sir
dieses 91148,dieses,this
selbst 90135,selbst,himself
gehört 89459,gehört,heard
möchte 89068,möchte,want
ohne 88934,ohne,without
hör 88336,hör,listening
her 87571,her,from
sag 87203,sag,say
meiner 86264,meiner,mine
anderen 86205,anderen,others
helfen 85664,helfen,help
nacht 85102,nacht,night
finden 83987,finden,find
diesen 83932,diesen,this
gute 83835,gute,good
wirst 83791,wirst,become
lange 82872,lange,long
natürlich 82710,natürlich,naturally
ach 82252,ach,Oh
meinem 82233,meinem,my
gar 82082,gar,even
ins 80529,ins,into the
sei 80433,sei,be
dort 79951,dort,there
weiter 79598,weiter,further
geben 78926,geben,give
seit 78517,seit,since
gleich 78080,gleich,even
sagt 78008,sagt,says
recht 77861,recht,right
ihren 76796,ihren,your
richtig 76789,richtig,correct
ordnung 76635,ordnung,order
vom 76597,vom,from the
hören 76109,hören,hear
sieht 75968,sieht,sees
davon 75947,davon,of that
dafür 75302,dafür,for that
geh 74468,geh,walk
diesem 74234,diesem,this
wegen 74062,wegen,because of
hause 73059,hause,home
sollten 72777,sollten,should
mädchen 72685,mädchen,girl
hin 72272,hin,there
